id,product_id,product_name,price,unit,quantity,link,category,sub_category_1,sub_category_2,created_date,online_partner
175,40005782,Carrot - Sliced,90,200,g,https://www.bigbasket.com/pd/40005782/fresho-carrot-sliced-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,09/08/2022 11:56,Bigbasket
176,40005837,Ridge Gourd - Sliced,90,200,g,https://www.bigbasket.com/pd/40005837/fresho-ridge-gourd-sliced-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,10/08/2022 11:56,Bigbasket
177,50000468,Bottle Gourd - Organically Grown,17.81,1,pc,https://www.bigbasket.com/pd/50000468/fresho-bottle-gourd-organically-grown-1-pc/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,11/08/2022 11:56,Bigbasket
178,1209677,Palak 250g +Ladies Finger+Cucumber+Capsicum Green (500g Each) +Bottle Gourd 1kg,105.5,1,pc,https://www.bigbasket.com/pd/1209677/fresho-palak-250g-ladies-fingercucumbercapsicum-green-500g-each-bottle-gourd-1kg-combo/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,12/08/2022 11:56,Bigbasket
179,1209673,Palak+Ladies Finger+Capsicum Green(500g Each)+Cucumber+Bottle Gourd(1kg Each),126.57,1,pc,https://www.bigbasket.com/pd/1209673/fresho-palakladies-fingercapsicum-green500g-eachcucumberbottle-gourd1kg-each-combo/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,13/08/2022 11:56,Bigbasket
180,1209675,Palak + Ladies Finger + Cucumber + Capsicum Green (500g Each) + Bottle Gourd 1kg,119,1,pc,https://www.bigbasket.com/pd/1209675/fresho-palak-ladies-finger-cucumber-capsicum-green-500g-each-bottle-gourd-1kg-combo/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,14/08/2022 11:56,Bigbasket
181,40001242,"Amaranthus - Red Cleaned, without roots",110,1,kg,https://www.bigbasket.com/pd/40001242/fresho-amaranthus-red-cleaned-without-roots-1-kg/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,15/08/2022 11:56,Bigbasket
182,50000461,"Beans - French Ring, Organically Grown",35,250,g,https://www.bigbasket.com/pd/50000461/fresho-beans-french-ring-organically-grown-250-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,16/08/2022 11:56,Bigbasket
183,40005788,Carrots - Julienne,150,200,g,https://www.bigbasket.com/pd/40005788/fresho-carrots-julienne-200-g/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,17/08/2022 11:56,Bigbasket
184,1203474,Fresho Meat Mutton Curry Cut Rewaji+Fresho Onion+New Potato+Tomato Hybrid (1kg),286.86,1,pc,https://www.bigbasket.com/pd/1203474/bb-combo-fresho-meat-mutton-curry-cut-rewajifresho-onionnew-potatotomato-hybrid-1kg-combo/?nc=L2Category&t_pg=L2Cagegory&t_p=L2Category&t_s=L2Category&t_pos=3&t_ch=desktop,Groceries,Fruits & Vegetables,Fresh Vegetables,18/08/2022 11:56,Bigbasket
